onset,duration,weight,trial_type
3.10,3.50,1,cue-first
8.22,4.44,1,task-first
17.29,3.50,1,cue-easy_hard
22.37,3.99,1,error
31.42,3.50,1,cue-hard_easy
36.51,2.38,1,task-hard_easy
45.57,3.50,1,cue-easy_easy
50.66,3.35,1,task-easy_easy
59.72,3.50,1,cue-easy_easy
64.81,3.23,1,task-easy_easy
73.87,3.50,1,cue-easy_easy
78.96,4.49,1,task-easy_easy
88.02,3.50,1,cue-easy_easy
93.11,1.86,1,task-easy_easy
102.17,3.50,1,cue-easy_easy
107.26,1.52,1,task-easy_easy
116.32,3.50,1,cue-easy_hard
121.41,2.71,1,task-easy_hard
130.47,3.50,1,cue-hard_hard
135.56,5.90,1,task-hard_hard
144.62,3.50,1,cue-hard_hard
149.71,2.66,1,task-hard_hard
158.78,3.50,1,cue-hard_easy
163.86,2.51,1,task-hard_easy
172.93,3.50,1,cue-easy_hard
178.01,6.00,1,error
187.08,3.50,1,cue-hard_hard
192.16,3.74,1,task-hard_hard
201.23,3.50,1,cue-hard_easy
206.31,1.55,1,task-hard_easy
215.38,3.50,1,cue-easy_easy
220.44,2.34,1,task-easy_easy
229.51,3.50,1,cue-easy_hard
234.59,3.34,1,task-easy_hard
243.66,3.50,1,cue-hard_hard
248.73,4.29,1,task-hard_hard
257.79,3.50,1,cue-hard_hard
262.88,4.13,1,task-hard_hard
271.94,3.50,1,cue-hard_easy
277.04,3.03,1,task-hard_easy
286.13,3.50,1,cue-easy_hard
291.21,3.02,1,task-easy_hard
300.30,3.50,1,cue-hard_hard
305.40,4.19,1,task-hard_hard
314.48,3.50,1,cue-hard_easy
319.58,2.14,1,task-hard_easy
328.66,3.50,1,cue-easy_hard
333.75,5.10,1,task-easy_hard
342.83,3.50,1,cue-hard_hard
347.93,4.52,1,error
357.01,3.50,1,cue-hard_easy
362.10,1.42,1,task-hard_easy
371.18,3.50,1,cue-easy_easy
376.28,4.70,1,task-easy_easy
385.36,3.50,1,cue-easy_easy
390.45,0.93,1,task-easy_easy
399.53,3.50,1,cue-easy_hard
404.61,6.00,1,error
413.70,3.50,1,cue-hard_hard
418.78,3.23,1,task-hard_hard
427.85,3.50,1,cue-hard_hard
432.95,5.25,1,error
442.03,3.50,1,cue-hard_easy
447.13,3.65,1,task-hard_easy
456.22,3.50,1,cue-easy_easy
461.32,3.23,1,task-easy_easy
470.40,3.50,1,cue-easy_hard
475.50,3.78,1,error
484.58,3.50,1,cue-hard_easy
489.67,1.43,1,task-hard_easy
498.75,3.50,1,cue-easy_hard
503.83,2.23,1,error
512.92,3.50,1,cue-hard_easy
518.00,2.46,1,task-hard_easy
