onset,duration,weight,trial_type
3.11,3.50,1,cue-first
8.21,2.96,1,task-first
17.28,3.50,1,cue-hard_hard
22.36,2.71,1,task-hard_hard
31.43,3.50,1,cue-hard_easy
36.53,0.83,1,task-hard_easy
45.59,3.50,1,cue-easy_easy
50.66,0.97,1,task-easy_easy
59.73,3.50,1,cue-easy_easy
64.81,0.78,1,task-easy_easy
73.88,3.50,1,cue-easy_hard
78.96,3.72,1,task-easy_hard
88.03,3.50,1,cue-hard_easy
93.11,1.62,1,task-hard_easy
102.18,3.50,1,cue-easy_hard
107.26,2.21,1,task-easy_hard
116.33,3.50,1,cue-hard_hard
121.39,3.65,1,task-hard_hard
130.46,3.50,1,cue-hard_hard
135.54,3.95,1,task-hard_hard
144.61,3.50,1,cue-hard_easy
149.69,1.31,1,task-hard_easy
158.76,3.50,1,cue-easy_hard
163.85,5.06,1,error
172.91,3.50,1,cue-hard_hard
177.98,3.13,1,task-hard_hard
187.05,3.50,1,cue-hard_hard
192.13,4.95,1,error
201.20,3.50,1,cue-hard_easy
206.26,3.32,1,error
215.33,3.50,1,cue-easy_hard
220.41,1.67,1,task-easy_hard
229.48,3.50,1,cue-hard_easy
234.55,3.50,1,error
243.61,3.50,1,cue-easy_easy
248.70,0.86,1,task-easy_easy
257.76,3.50,1,cue-easy_easy
262.83,1.83,1,task-easy_easy
271.90,3.50,1,cue-easy_easy
276.98,2.25,1,task-easy_easy
286.06,3.50,1,cue-easy_hard
291.15,5.19,1,task-easy_hard
300.23,3.50,1,cue-hard_hard
305.33,5.42,1,error
314.42,3.50,1,cue-hard_easy
319.52,3.39,1,task-hard_easy
328.58,3.50,1,cue-easy_easy
333.67,2.54,1,task-easy_easy
342.73,3.50,1,cue-easy_hard
347.83,4.97,1,task-easy_hard
356.92,3.50,1,cue-hard_easy
362.02,0.73,1,task-hard_easy
371.10,3.50,1,cue-easy_hard
376.18,3.24,1,task-easy_hard
385.25,3.50,1,cue-hard_hard
390.33,2.09,1,task-hard_hard
399.42,3.50,1,cue-hard_easy
404.50,2.42,1,task-hard_easy
413.58,3.50,1,cue-easy_easy
418.67,2.15,1,error
427.73,3.50,1,cue-easy_hard
432.82,4.49,1,task-easy_hard
441.90,3.50,1,cue-hard_easy
446.98,0.90,1,task-hard_easy
456.05,3.50,1,cue-easy_easy
461.14,1.98,1,task-easy_easy
470.22,3.50,1,cue-easy_easy
475.32,2.34,1,task-easy_easy
484.39,3.50,1,cue-easy_hard
489.47,3.31,1,task-easy_hard
498.54,3.50,1,cue-hard_hard
503.62,2.38,1,task-hard_hard
512.70,3.50,1,cue-hard_hard
517.79,2.94,1,task-hard_hard
