onset,duration,weight,trial_type
3.11,3.50,1,cue-first
8.19,3.38,1,task-first
17.24,3.50,1,cue-hard_hard
22.32,3.42,1,task-hard_hard
31.39,3.50,1,cue-hard_easy
36.47,1.47,1,task-hard_easy
45.52,3.50,1,cue-easy_easy
50.59,2.77,1,task-easy_easy
59.66,3.50,1,cue-easy_hard
64.74,4.28,1,task-easy_hard
73.79,3.50,1,cue-hard_hard
78.86,2.15,1,task-hard_hard
87.91,3.50,1,cue-hard_hard
92.97,1.63,1,task-hard_hard
102.02,3.50,1,cue-hard_easy
107.11,1.16,1,task-hard_easy
116.16,3.50,1,cue-easy_easy
121.22,0.99,1,task-easy_easy
130.27,3.50,1,cue-easy_easy
135.34,1.58,1,task-easy_easy
144.41,3.50,1,cue-easy_easy
149.49,1.40,1,task-easy_easy
158.54,3.50,1,cue-easy_easy
163.61,2.40,1,task-easy_easy
172.66,3.50,1,cue-easy_hard
177.74,2.84,1,task-easy_hard
186.79,3.50,1,cue-hard_hard
191.86,5.17,1,task-hard_hard
200.91,3.50,1,cue-hard_easy
205.98,0.79,1,task-hard_easy
215.03,3.50,1,cue-easy_easy
220.11,2.44,1,task-easy_easy
229.18,3.50,1,cue-easy_hard
234.24,3.70,1,task-easy_hard
243.29,3.50,1,cue-hard_easy
248.38,4.58,1,task-hard_easy
257.43,3.50,1,cue-easy_hard
262.51,3.10,1,task-easy_hard
271.58,3.50,1,cue-hard_hard
276.64,2.51,1,task-hard_hard
285.71,3.50,1,cue-hard_easy
290.79,1.88,1,task-hard_easy
299.86,3.50,1,cue-easy_easy
304.95,0.82,1,task-easy_easy
314.01,3.50,1,cue-easy_hard
319.10,2.07,1,task-easy_hard
328.16,3.50,1,cue-hard_easy
333.25,2.28,1,task-hard_easy
342.31,3.50,1,cue-easy_hard
347.40,6.00,1,error
356.48,3.50,1,cue-hard_easy
361.56,2.14,1,task-hard_easy
370.63,3.50,1,cue-easy_easy
375.71,2.11,1,task-easy_easy
384.78,3.50,1,cue-easy_hard
389.86,3.75,1,task-easy_hard
398.93,3.50,1,cue-hard_hard
404.01,5.67,1,error
413.08,3.50,1,cue-hard_easy
418.16,0.86,1,task-hard_easy
427.23,3.50,1,cue-easy_easy
432.31,0.84,1,task-easy_easy
441.38,3.50,1,cue-easy_hard
446.46,3.02,1,task-easy_hard
455.53,3.50,1,cue-hard_hard
460.62,3.18,1,task-hard_hard
469.68,3.50,1,cue-hard_hard
474.77,4.41,1,error
483.83,3.50,1,cue-hard_easy
488.92,0.74,1,task-hard_easy
497.98,3.50,1,cue-easy_hard
503.08,3.40,1,task-easy_hard
512.15,3.50,1,cue-hard_hard
517.23,4.63,1,task-hard_hard
